index;indeks;Price [PLN/MWh];Volume [MWh]
17.06.2016 00:00;TGeBase;160,72;66816,1
18.06.2016 00:00;TGeBase;146,54;89251
19.06.2016 00:00;TGeBase;148,85;64388,3
20.06.2016 00:00;TGeBase;250,31;72015,6
21.06.2016 00:00;TGeBase;259,71;71064,5
22.06.2016 00:00;TGeBase;369,75;80100,6
23.06.2016 00:00;TGeBase;373,99;77570,7
24.06.2016 00:00;TGeBase;276,78;69368,1
25.06.2016 00:00;TGeBase;188,27;81688,7
26.06.2016 00:00;TGeBase;135,01;69525,5
27.06.2016 00:00;TGeBase;236,89;71078,3
28.06.2016 00:00;TGeBase;329,73;73979,1
29.06.2016 00:00;TGeBase;305,96;81529,2
30.06.2016 00:00;TGeBase;243,23;87700,8
01.07.2016 00:00;TGeBase;329,79;69064,3
02.07.2016 00:00;TGeBase;171,32;68223,4
03.07.2016 00:00;TGeBase;133,49;55884
04.07.2016 00:00;TGeBase;178,47;65443,3
05.07.2016 00:00;TGeBase;185,54;60512
06.07.2016 00:00;TGeBase;124,07;72910,1
07.07.2016 00:00;TGeBase;133,89;76570,3
08.07.2016 00:00;TGeBase;153,49;58241,7
09.07.2016 00:00;TGeBase;123,79;66270
10.07.2016 00:00;TGeBase;126,03;61167,8
11.07.2016 00:00;TGeBase;149,52;66079,1
12.07.2016 00:00;TGeBase;157,94;65460,3
13.07.2016 00:00;TGeBase;160,88;65143,4
14.07.2016 00:00;TGeBase;138,33;57302,4
15.07.2016 00:00;TGeBase;132,3;71245,7
16.07.2016 00:00;TGeBase;133,34;71553,9
17.07.2016 00:00;TGeBase;122,61;66069,5
18.07.2016 00:00;TGeBase;142,61;58525,8
19.07.2016 00:00;TGeBase;150,04;63844
20.07.2016 00:00;TGeBase;153,93;64827,1
21.07.2016 00:00;TGeBase;148,24;67452,2
22.07.2016 00:00;TGeBase;151,84;66418
23.07.2016 00:00;TGeBase;137,89;82049,1
24.07.2016 00:00;TGeBase;129,47;64453,2
25.07.2016 00:00;TGeBase;152,74;70044
26.07.2016 00:00;TGeBase;159,69;73077,7
27.07.2016 00:00;TGeBase;160,09;73185,9
28.07.2016 00:00;TGeBase;159,43;65514,7
29.07.2016 00:00;TGeBase;156,92;60250
30.07.2016 00:00;TGeBase;137,47;73642,1
31.07.2016 00:00;TGeBase;123,94;68690,6
01.08.2016 00:00;TGeBase;138,25;55899,3
02.08.2016 00:00;TGeBase;146,73;60030
03.08.2016 00:00;TGeBase;146,12;56467,2
04.08.2016 00:00;TGeBase;142,22;54055,4
05.08.2016 00:00;TGeBase;151,05;56222,7
06.08.2016 00:00;TGeBase;134,17;64098,5
07.08.2016 00:00;TGeBase;120,87;67937,9
08.08.2016 00:00;TGeBase;127,96;59500,8
09.08.2016 00:00;TGeBase;133,99;56438,2
10.08.2016 00:00;TGeBase;141,04;54858,6
11.08.2016 00:00;TGeBase;140,19;59210,3
12.08.2016 00:00;TGeBase;150,17;56506,2
13.08.2016 00:00;TGeBase;122,97;65291,3
14.08.2016 00:00;TGeBase;107,82;78384,2
15.08.2016 00:00;TGeBase;120,14;68426,2
16.08.2016 00:00;TGeBase;138,77;64013,3
17.08.2016 00:00;TGeBase;146,88;59049,1
18.08.2016 00:00;TGeBase;142,52;56225,3
19.08.2016 00:00;TGeBase;152,86;59763,8
20.08.2016 00:00;TGeBase;142,26;73349,1
21.08.2016 00:00;TGeBase;125,19;63971,7
22.08.2016 00:00;TGeBase;150,53;59416,5
23.08.2016 00:00;TGeBase;160,35;58043,3
24.08.2016 00:00;TGeBase;159,69;62550
25.08.2016 00:00;TGeBase;153,69;59308,3
26.08.2016 00:00;TGeBase;145,93;60452,6
27.08.2016 00:00;TGeBase;142,04;85107,8
28.08.2016 00:00;TGeBase;131,75;58310,7
29.08.2016 00:00;TGeBase;137,04;66149,9
30.08.2016 00:00;TGeBase;144,63;65078,4
31.08.2016 00:00;TGeBase;167,39;71749,1
01.09.2016 00:00;TGeBase;157,53;70831,9
02.09.2016 00:00;TGeBase;156,38;66272
03.09.2016 00:00;TGeBase;144,1;85764
04.09.2016 00:00;TGeBase;129,31;73971,7
05.09.2016 00:00;TGeBase;154,03;63009,3
06.09.2016 00:00;TGeBase;171,35;75239,4
07.09.2016 00:00;TGeBase;168,6;77648,1
08.09.2016 00:00;TGeBase;163,79;70866
09.09.2016 00:00;TGeBase;171,03;67024,8
10.09.2016 00:00;TGeBase;151,43;89321,8
11.09.2016 00:00;TGeBase;141,94;81243,6
12.09.2016 00:00;TGeBase;167,47;72799,9
13.09.2016 00:00;TGeBase;176,56;64537,3
14.09.2016 00:00;TGeBase;165,87;62515,9
15.09.2016 00:00;TGeBase;160,94;65264,4
16.09.2016 00:00;TGeBase;157,25;59209,7
17.09.2016 00:00;TGeBase;123,43;69814,8
18.09.2016 00:00;TGeBase;113,02;73228,8
19.09.2016 00:00;TGeBase;157,25;54470,5
20.09.2016 00:00;TGeBase;166,25;57712,1
21.09.2016 00:00;TGeBase;163,66;60211,6
22.09.2016 00:00;TGeBase;165,16;62644,8
23.09.2016 00:00;TGeBase;165,9;60521,9
24.09.2016 00:00;TGeBase;145,33;67947,8
25.09.2016 00:00;TGeBase;137,65;64427,4
26.09.2016 00:00;TGeBase;166,13;66157
27.09.2016 00:00;TGeBase;188,73;73559,7
28.09.2016 00:00;TGeBase;134,79;68517,3
29.09.2016 00:00;TGeBase;134,72;73854,6
30.09.2016 00:00;TGeBase;166,8;77052,8
01.10.2016 00:00;TGeBase;158,88;81907,8
02.10.2016 00:00;TGeBase;143,06;69216,5
03.10.2016 00:00;TGeBase;191,39;64447,7
04.10.2016 00:00;TGeBase;142,03;81150,7
05.10.2016 00:00;TGeBase;136,06;82032,1
06.10.2016 00:00;TGeBase;164,12;74845,8
07.10.2016 00:00;TGeBase;258,36;63738,1
08.10.2016 00:00;TGeBase;182,39;80214,9
09.10.2016 00:00;TGeBase;152,05;62762,5
10.10.2016 00:00;TGeBase;354,94;64233,4
11.10.2016 00:00;TGeBase;181,36;62663,6
12.10.2016 00:00;TGeBase;160,01;62071,8
13.10.2016 00:00;TGeBase;175,11;63332
14.10.2016 00:00;TGeBase;158,33;64225,1
15.10.2016 00:00;TGeBase;129,16;74346,3
16.10.2016 00:00;TGeBase;126,96;77496,8
17.10.2016 00:00;TGeBase;157,46;58520,2
18.10.2016 00:00;TGeBase;180,41;61041
19.10.2016 00:00;TGeBase;186,54;64057,8
20.10.2016 00:00;TGeBase;181,91;66244,9
21.10.2016 00:00;TGeBase;171,87;69630,4
22.10.2016 00:00;TGeBase;153,06;89254,2
23.10.2016 00:00;TGeBase;144,61;68606,3
24.10.2016 00:00;TGeBase;168,11;70393,8
25.10.2016 00:00;TGeBase;179,05;71863,6
26.10.2016 00:00;TGeBase;195,41;80626,4
27.10.2016 00:00;TGeBase;168,5;63606,8
